dataset,method,task,seed,overall_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,known_accuracy,unknown_precision,unknown_recall,known_fpr_as_unknown,unknown_false_accept_rate,auroc,fpr95,oscr,threshold_strategy_used,threshold_mode,threshold,threshold_quantile,number_of_tx,number_of_rx_used,rx_mode,rx_used,known_tx_list,unknown_tx_list,known_classes,unknown_classes,train_sample_count,val_sample_count,test_known_sample_count,test_unknown_sample_count,split_file,output_dir,best_val_acc,best_epoch,training_status
wisig_singleday_osr_k16_u12,Softmax,open_set_rejection,42,0.9160361842105263,0.9273198371571648,0.95,0.916164074431338,0.9382590564228164,0.952734375,0.9863945578231292,0.90625,0.046875,0.09375,0.9400709228515625,0.688671875,0.8996141357421874,softmax_val_known_quantile,softmax_val_known_quantile,0.1596685044467449,0.05,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\wisig_singleday_osr_k16_u12\softmax,0.99921875,0,reused_checkpoint
wisig_singleday_osr_k16_u12,OpenMax,open_set_rejection,42,0.9771381578947368,0.9825047146358673,0.9050245098039217,0.9286241048192656,0.9729315617138344,0.89921875,0.973775157552348,0.9979166666666667,0.10078125,0.0020833333333333333,0.9884737752278646,0.02578125,0.8990385945638022,openmax_val_known_quantile,openmax_val_known_quantile,0.08954350054264068,0.1,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\wisig_singleday_osr_k16_u12\openmax,0.99921875,0,reused_checkpoint
wisig_singleday_osr_k16_u12,HyperRSI,open_set_rejection,42,0.9777138157894737,0.9983850494913799,0.9003676470588236,0.9392718990236922,0.9756112149783722,0.894140625,0.9725458413534597,1.0,0.105859375,0.0,0.9986705322265625,0.003125,0.894111857096354,center_cosine_val_known_quantile,center_cosine_val_known_quantile,0.9628450274467468,0.1,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\wisig_singleday_osr_k16_u12\hyperrsi,0.99921875,0,reused_checkpoint
wisig_singleday_osr_k16_u12,HyDRA,open_set_rejection,42,0.9790296052631579,0.9984779299847792,0.90625,0.9461361852250219,0.9777762117845484,0.900390625,0.974124809741248,1.0,0.099609375,0.0,0.9989888509114584,0.005078125,0.9003608805338542,center_cosine_val_known_quantile,center_cosine_val_known_quantile,0.9959383547306061,0.1,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\wisig_singleday_osr_k16_u12\hydra,0.99921875,0,reused_checkpoint
wisig_singleday_osr_k16_u12,OpenRFI,open_set_rejection,42,0.9194078947368421,0.9500591497596907,0.9018075980392156,0.89164458591629,0.9351438394649773,0.900390625,0.9720700985761227,0.9244791666666666,0.099609375,0.07552083333333333,0.9781038818359375,0.2015625,0.8880714314778646,softmax_val_known_quantile,softmax_val_known_quantile,0.9985921859741211,0.1,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\wisig_singleday_osr_k16_u12\openrfi,0.99921875,0,reused_checkpoint
wisig_singleday_osr_k16_u12,ARPL,open_set_rejection,42,0.9788651315789474,0.9984663034332125,0.9055147058823529,0.9486429778721782,0.9782581895487503,0.899609375,0.973927158364614,1.0,0.100390625,0.0,0.9926537272135416,0.021875,0.8995793050130207,openmax_val_known_quantile,openmax_val_known_quantile,0.08622070103883762,0.1,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\wisig_singleday_osr_k16_u12\arpl_evt,0.99921875,0,reused_checkpoint
oracle_kri16_demod,Softmax,open_set_rejection,42,0.63584375,0.718190323972208,0.897969696969697,0.721127059477836,0.6985993847139478,0.934125,0.9670247126868474,0.5364166666666667,0.054875,0.46358333333333335,0.9009059791666667,0.464875,0.8763192786458334,softmax_val_known_quantile,softmax_val_known_quantile,0.8224104225635529,0.05,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\oracle_kri16_demod\softmax,0.9745,0,reused_checkpoint
oracle_kri16_demod,OpenMax,open_set_rejection,42,0.864,0.860296557636707,0.8041325757575758,0.8042557471842177,0.8792239430321728,0.795875,0.9296260702428796,0.8867083333333333,0.201375,0.11329166666666667,0.9006863124999999,0.318625,0.7797450703125,openmax_val_known_quantile,openmax_val_known_quantile,0.025568715482950224,0.2,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\oracle_kri16_demod\openmax,0.97,0,reused_checkpoint
oracle_kri16_demod,HyperRSI,open_set_rejection,42,0.89446875,0.8884905467355634,0.8918598484848484,0.8669235414870318,0.9110850316531325,0.8915,0.962642777155655,0.8954583333333334,0.10425,0.10454166666666667,0.9514772942708334,0.18675,0.8781046380208333,center_cosine_val_known_quantile,center_cosine_val_known_quantile,0.8804203510284424,0.1,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\oracle_kri16_demod\hyperrsi,0.97725,0,reused_checkpoint
oracle_kri16_demod,HyDRA,open_set_rejection,42,0.8246875,0.8566419538523583,0.8754924242424241,0.826453646421271,0.8604153251754364,0.8825,0.9536730968474024,0.8054166666666667,0.117375,0.19458333333333333,0.9048144557291666,0.478375,0.8380933307291667,center_cosine_val_known_quantile,center_cosine_val_known_quantile,0.9728313565254212,0.1,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\oracle_kri16_demod\hydra,0.992,0,reused_checkpoint
oracle_kri16_demod,OpenRFI,open_set_rejection,42,0.93415625,0.9389437930819178,0.903810606060606,0.9057245857266487,0.9419141103348126,0.899625,0.9658283331205583,0.9456666666666667,0.100375,0.05433333333333333,0.9695276536458333,0.14675,0.8786490312499999,openmax_val_known_quantile,openmax_val_known_quantile,3.4162527299486094e-05,0.1,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\oracle_kri16_demod\openrfi,1.0,0,reused_checkpoint
oracle_kri16_demod,ARPL,open_set_rejection,42,0.88559375,0.8673437299090705,0.8927613636363637,0.854295574953591,0.9040527413956618,0.89375,0.9667837751517088,0.882875,0.091,0.117125,0.9327645833333333,0.6325,0.8411563151041667,openmax_val_known_quantile,openmax_val_known_quantile,0.02916740179061888,0.1,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\formal\oracle_kri16_demod\arpl_evt,0.9625,0,reused_checkpoint
