dataset,method,task,seed,overall_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,known_accuracy,unknown_precision,unknown_recall,known_fpr_as_unknown,unknown_false_accept_rate,auroc,fpr95,oscr,threshold_strategy_used,threshold_mode,threshold,threshold_quantile,number_of_tx,number_of_rx_used,rx_mode,rx_used,known_tx_list,unknown_tx_list,known_classes,unknown_classes,train_sample_count,val_sample_count,test_known_sample_count,test_unknown_sample_count,split_file,output_dir,best_val_acc,best_epoch,training_status
wisig_singleday_osr_k16_u12,Softmax,open_set_rejection,42,0.1053921568627451,0.07317934960413532,0.1053921568627451,0.040881810833103445,0.04088181083310345,0.11197916666666667,0.0,0.0,0.041666666666666664,1.0,0.4053819444444445,0.9401041666666666,0.06114366319444445,softmax_val_known_quantile,softmax_val_known_quantile,0.06592697873711587,0.05,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\softmax,0.09114583333333333,1,trained
wisig_singleday_osr_k16_u12,OpenMax,open_set_rejection,42,0.07598039215686274,0.04921922303105195,0.07598039215686274,0.05156194998633882,0.05156194998633882,0.07552083333333333,0.09090909090909091,0.08333333333333333,0.052083333333333336,0.9166666666666666,0.5460069444444444,0.8645833333333334,0.04622395833333333,openmax_val_known_quantile,openmax_val_known_quantile,0.07234364244871691,0.05,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\openmax,0.078125,1,trained
wisig_singleday_osr_k16_u12,HyperRSI,open_set_rejection,42,0.8799019607843137,0.9058205492093203,0.8799019607843137,0.8820884313503782,0.8820884313503782,0.8932291666666666,0.47058823529411764,0.6666666666666666,0.046875,0.3333333333333333,0.908420138888889,0.3880208333333333,0.8240017361111112,center_cosine_val_known_quantile,center_cosine_val_known_quantile,0.9976870387792587,0.05,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\hyperrsi,0.125,1,trained
wisig_singleday_osr_k16_u12,HyDRA,open_set_rejection,42,0.06862745098039216,0.012118531623175586,0.06862745098039216,0.01603870794319251,0.01603870794319251,0.0625,0.14285714285714285,0.16666666666666666,0.0625,0.8333333333333334,0.6200086805555556,0.7708333333333334,0.05702039930555555,softmax_val_known_quantile,softmax_val_known_quantile,0.06943046152591706,0.05,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\hydra,0.0625,1,trained
wisig_singleday_osr_k16_u12,OpenRFI,open_set_rejection,42,0.0857843137254902,0.05372844312241297,0.0857843137254902,0.048132986112061585,0.048132986112061585,0.08072916666666667,0.13333333333333333,0.16666666666666666,0.06770833333333333,0.8333333333333334,0.5141059027777778,0.8697916666666666,0.052191840277777776,softmax_val_known_quantile,softmax_val_known_quantile,0.06795876882970334,0.05,28,1,fixed,"[""1-1""]","[""13-3"", ""20-7"", ""7-10"", ""6-15"", ""3-13"", ""11-4"", ""8-3"", ""7-11"", ""15-1"", ""3-18"", ""4-11"", ""14-7"", ""11-7"", ""5-5"", ""11-1"", ""1-11""]","[""20-19"", ""6-1"", ""2-19"", ""16-16"", ""20-15"", ""8-20"", ""10-7"", ""11-17"", ""8-18"", ""10-11"", ""20-12"", ""14-10""]",16,12,8960,1280,2560,9600,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\wisig\single_day_rx1_eq0\wisig_single_day_rx1_eq0_k16_u12_seed42.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\wisig_singleday_osr_k16_u12\openrfi,0.06510416666666667,1,trained
oracle_kri16_demod,Softmax,open_set_rejection,42,0.08712121212121213,0.008397225264695144,0.08712121212121213,0.01531801531801532,0.015318015318015318,0.09583333333333334,0.0,0.0,0.0625,1.0,0.48168402777777775,0.9583333333333334,0.05112847222222222,softmax_val_known_quantile,softmax_val_known_quantile,0.10890367776155471,0.05,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\softmax,0.09583333333333334,1,trained
oracle_kri16_demod,OpenMax,open_set_rejection,42,0.07575757575757576,0.03545263476093516,0.07575757575757576,0.03894611135990446,0.03894611135990446,0.075,0.18181818181818182,0.08333333333333333,0.0375,0.9166666666666666,0.4588541666666667,0.9291666666666667,0.03394097222222223,openmax_val_known_quantile,openmax_val_known_quantile,0.1040831020807557,0.05,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\openmax,0.09583333333333334,1,trained
oracle_kri16_demod,HyperRSI,open_set_rejection,42,0.10984848484848485,0.09339786163253394,0.10984848484848485,0.09680487344034688,0.09680487344034687,0.12083333333333333,0.0,0.0,0.058333333333333334,1.0,0.5539930555555556,0.9166666666666666,0.07777777777777779,center_cosine_val_known_quantile,center_cosine_val_known_quantile,0.9995857447385788,0.05,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\hyperrsi,0.1,1,trained
oracle_kri16_demod,HyDRA,open_set_rejection,42,0.09848484848484848,0.024507999740197885,0.0984848484848485,0.02873483280287348,0.02873483280287348,0.09583333333333334,0.17647058823529413,0.125,0.058333333333333334,0.875,0.5444444444444445,0.9791666666666666,0.05303819444444444,softmax_val_known_quantile,softmax_val_known_quantile,0.11073895394802094,0.05,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\hydra,0.1,1,trained
oracle_kri16_demod,OpenRFI,open_set_rejection,42,0.10227272727272728,0.040313630737707336,0.10227272727272728,0.052700161791070885,0.052700161791070885,0.10416666666666667,0.06666666666666667,0.08333333333333333,0.11666666666666667,0.9166666666666666,0.49670138888888893,0.8666666666666667,0.05164930555555556,softmax_val_known_quantile,softmax_val_known_quantile,0.10697278939187527,0.05,16,N/A,not_applicable,"[""N/A""]","[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", ""13"", ""14"", ""15""]","[""17"", ""18"", ""19"", ""25"", ""26"", ""32""]",10,6,28000,4000,8000,24000,D:\learn_pytorch\笔记\方案\os_sei_code\data\splits\oracle\oracle_main_sorted_k10_u6.json,D:\learn_pytorch\笔记\方案\os_sei_code\Comparison method\adapted_results\smoke\oracle_kri16_demod\openrfi,0.1,1,trained
