dataset,method,task,seed,nmi,ari,purity,hungarian_accuracy,coverage_of_total_test_unknown
oracle_kri16_demod,HyDRA,unknown_subdivision,42,0.7336804366512112,0.0,1.0,0.6666666666666666,0.125
oracle_kri16_demod,HyperRSI,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.0
oracle_kri16_demod,OpenMax,unknown_subdivision,42,1.0,1.0,1.0,1.0,0.08333333333333333
oracle_kri16_demod,OpenRFI,unknown_subdivision,42,1.0,1.0,1.0,1.0,0.08333333333333333
oracle_kri16_demod,Softmax,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.0
wisig_singleday_osr_k16_u12,HyDRA,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.16666666666666666
wisig_singleday_osr_k16_u12,HyperRSI,unknown_subdivision,42,0.8397450512354042,0.5686556434219986,0.875,0.75,0.6666666666666666
wisig_singleday_osr_k16_u12,OpenMax,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.08333333333333333
wisig_singleday_osr_k16_u12,OpenRFI,unknown_subdivision,42,0.6666666666666666,-0.2,0.75,0.75,0.16666666666666666
wisig_singleday_osr_k16_u12,Softmax,unknown_subdivision,42,0.0,0.0,0.0,0.0,0.0
