全局样本索引,来源划分,来源内索引,真实标签名_仅离线评估使用,真实开放集标签_仅离线评估使用,未知分数,未知细分类标签,是否不确定样本
1848,known,1848,3,2,0.9985962817952803,1,False
1871,known,1871,3,2,0.9986700046126545,1,False
1929,known,1929,3,2,0.9986153328561269,1,False
1952,known,1952,3,2,0.9984752131273511,1,False
2041,known,2041,3,2,0.9649924650703713,-1,True
2213,known,2213,3,2,0.998609166134756,1,False
2335,known,2335,3,2,0.9985735564391606,1,False
3426,known,3426,5,4,0.9771308478151443,-1,True
3508,known,3508,5,4,0.9774776115176381,-1,True
3528,known,3528,5,4,0.9750874437857177,-1,True
3709,known,3709,5,4,0.9780241253485553,-1,True
3720,known,3720,5,4,0.97974646650515,-1,True
3737,known,3737,5,4,0.9793455501148375,-1,True
3807,known,3807,5,4,0.974816006294068,-1,True
3907,known,3907,5,4,0.9794292824199571,-1,True
3999,known,3999,5,4,0.97652025888077,-1,True
4038,known,4038,7,5,0.9920993591481655,-1,True
4122,known,4122,7,5,0.9988517823447607,-1,True
4197,known,4197,7,5,0.9914445369871826,-1,True
4203,known,4203,7,5,0.992363173369239,-1,True
4213,known,4213,7,5,0.9921534444957882,-1,True
4260,known,4260,7,5,0.9826594940606289,-1,True
4308,known,4308,7,5,0.9987965488847254,-1,True
4339,known,4339,7,5,0.9989585807520708,-1,True
4392,known,4392,7,5,0.9918188528613086,-1,True
4405,known,4405,7,5,0.9924302577628932,-1,True
4407,known,4407,7,5,0.9986199155009522,-1,True
4448,known,4448,7,5,0.9922159662962052,-1,True
4464,known,4464,7,5,0.998828246664278,-1,True
4469,known,4469,7,5,0.996306898425694,-1,True
4478,known,4478,7,5,0.9921551607491893,-1,True
4489,known,4489,7,5,0.9917846278848855,-1,True
4511,known,4511,7,5,0.9919005605705112,-1,True
4561,known,4561,7,5,0.9988819821236942,-1,True
4581,known,4581,7,5,0.9981394171533104,-1,True
4583,known,4583,7,5,0.989947553686029,-1,True
4598,known,4598,7,5,0.998873885790532,-1,True
4610,known,4610,7,5,0.9913045007709275,-1,True
4625,known,4625,7,5,0.9983778034648689,-1,True
4664,known,4664,7,5,0.9876786709201398,-1,True
4665,known,4665,7,5,0.9988811852082474,-1,True
4669,known,4669,7,5,0.9988294143664591,-1,True
4676,known,4676,7,5,0.9915051566464179,-1,True
4689,known,4689,7,5,0.9987604873498505,-1,True
4759,known,4759,7,5,0.988476822077248,-1,True
4761,known,4761,7,5,0.9913651812454544,-1,True
4784,known,4784,7,5,0.9980122121255035,-1,True
4791,known,4791,7,5,0.9988066286507732,-1,True
5036,known,5036,9,6,0.9827039122490133,-1,True
5041,known,5041,9,6,0.9855202736635137,-1,True
5076,known,5076,9,6,0.992228432938828,-1,True
5095,known,5095,9,6,0.992116613703538,-1,True
