全局样本索引,来源划分,来源内索引,真实标签名_仅离线评估使用,真实开放集标签_仅离线评估使用,未知分数,未知细分类标签,是否不确定样本
1848,known,1848,3,2,0.998594912322908,5,False
1871,known,1871,3,2,0.9986686942883117,5,False
1929,known,1929,3,2,0.9986139719472992,5,False
1952,known,1952,3,2,0.9984741752932108,5,False
2041,known,2041,3,2,0.9650035529690195,5,False
2213,known,2213,3,2,0.9986078060861209,5,False
2335,known,2335,3,2,0.9985722150096555,5,False
3426,known,3426,5,4,0.9771333024295112,1,False
3508,known,3508,5,4,0.977464498717276,1,False
3528,known,3528,5,4,0.9750953973684854,1,False
3709,known,3709,5,4,0.9780137832768977,1,False
3720,known,3720,5,4,0.9797376634278641,1,False
3737,known,3737,5,4,0.9793377648769377,1,False
3807,known,3807,5,4,0.9748177699168383,1,False
3907,known,3907,5,4,0.9794151841632925,1,False
3999,known,3999,5,4,0.9764995066451967,1,False
4038,known,4038,7,5,0.9921031146689591,3,False
4122,known,4122,7,5,0.9988506370908489,5,False
4197,known,4197,7,5,0.99144591457534,3,False
4203,known,4203,7,5,0.9923626171023385,3,False
4213,known,4213,7,5,0.9921510625125565,3,False
4260,known,4260,7,5,0.9826519106529635,3,False
4308,known,4308,7,5,0.9987953566522739,5,False
4339,known,4339,7,5,0.998957534121785,5,False
4392,known,4392,7,5,0.9918152079570306,3,False
4405,known,4405,7,5,0.9924287801273235,3,False
4407,known,4407,7,5,0.9986184405270542,5,False
4448,known,4448,7,5,0.9922188974981043,3,False
4464,known,4464,7,5,0.9988270806884386,5,False
4469,known,4469,7,5,0.9963099168974525,5,False
4478,known,4478,7,5,0.9921538546139747,3,False
4489,known,4489,7,5,0.9917922875308679,3,False
4511,known,4511,7,5,0.991906360965136,3,False
4561,known,4561,7,5,0.9988808646753371,5,False
4581,known,4581,7,5,0.9981401639110041,5,False
4583,known,4583,7,5,0.9899453446093737,3,False
4598,known,4598,7,5,0.9988727895644575,5,False
4610,known,4610,7,5,0.9913083796494252,3,False
4625,known,4625,7,5,0.9983775838912575,5,False
4664,known,4664,7,5,0.9876838080180995,3,False
4665,known,4665,7,5,0.9988800670253362,5,False
4669,known,4669,7,5,0.9988282503652782,5,False
4676,known,4676,7,5,0.991514780016037,3,False
4689,known,4689,7,5,0.9987594133730832,5,False
4759,known,4759,7,5,0.9884787290374824,3,False
4761,known,4761,7,5,0.991374841630903,3,False
4784,known,4784,7,5,0.9980121394842814,5,False
4791,known,4791,7,5,0.9988054520705868,5,False
5036,known,5036,9,6,0.9827234066375232,3,False
5041,known,5041,9,6,0.9855470873742385,3,False
5076,known,5076,9,6,0.9922309080731884,3,False
5095,known,5095,9,6,0.9921181538582724,3,False
5101,known,5101,9,6,0.9988845657837332,3,False
5178,known,5178,9,6,0.9915401547569094,3,False
5198,known,5198,9,6,0.9803133445459983,3,False
5253,known,5253,9,6,0.9805210579020447,3,False
5258,known,5258,9,6,0.9856827290647817,3,False
5293,known,5293,9,6,0.9773329529645515,3,False
5316,known,5316,9,6,0.9932805516679715,3,False
5325,known,5325,9,6,0.9738448060438935,3,False
5421,known,5421,9,6,0.9847706822230304,3,False
5430,known,5430,9,6,0.9758687740561144,3,False
5450,known,5450,9,6,0.9819711179544196,3,False
5522,known,5522,9,6,0.9891142503080951,2,False
5578,known,5578,9,6,0.9885753126744613,3,False
5614,known,5614,13,7,0.9786744754756145,1,False
5688,known,5688,13,7,0.9800228128231986,1,False
5753,known,5753,13,7,0.9741097531933154,1,False
5786,known,5786,13,7,0.9795136555910575,1,False
5798,known,5798,13,7,0.9986217870333318,1,False
5915,known,5915,13,7,0.9986289959608491,1,False
5945,known,5945,13,7,0.9793397615641065,1,False
5979,known,5979,13,7,0.9794079952185389,1,False
6012,known,6012,13,7,0.9753699539900441,1,False
6032,known,6032,13,7,0.979458915846914,1,False
6213,known,6213,13,7,0.9779722955008747,1,False
6217,known,6217,13,7,0.9711345315300582,1,False
6221,known,6221,13,7,0.9782426029606439,1,False
6296,known,6296,13,7,0.9829401446249874,1,False
6310,known,6310,13,7,0.9712249889539966,1,False
6405,known,6405,14,8,0.9873676041617555,5,False
6421,known,6421,14,8,0.9976403245651343,1,False
6428,known,6428,14,8,0.9846254556214674,5,False
6435,known,6435,14,8,0.8948568491040031,5,False
6451,known,6451,14,8,0.866288872500124,5,False
6513,known,6513,14,8,0.8801371273724976,5,False
6520,known,6520,14,8,0.9975734577901881,1,False
6544,known,6544,14,8,0.9730184372919416,5,False
6585,known,6585,14,8,0.9773755926422782,5,False
6618,known,6618,14,8,0.9850122836488082,5,False
6620,known,6620,14,8,0.9879456099612761,5,False
6642,known,6642,14,8,0.9966755844749385,1,False
6673,known,6673,14,8,0.945432505168444,5,False
6689,known,6689,14,8,0.9969963628389229,5,False
6720,known,6720,14,8,0.9112928689165497,5,False
6747,known,6747,14,8,0.8655149600724932,5,False
6794,known,6794,14,8,0.8698416160651479,5,False
6805,known,6805,14,8,0.9759020359293056,5,False
6816,known,6816,14,8,0.8838580197350155,5,False
6855,known,6855,14,8,0.9635663912888347,0,False
6887,known,6887,14,8,0.9951695572393656,1,False
6891,known,6891,14,8,0.9178027575486465,5,False
6935,known,6935,14,8,0.9746484131997769,5,False
6955,known,6955,14,8,0.8632706698778166,5,False
6958,known,6958,14,8,0.9461464261682934,5,False
6990,known,6990,14,8,0.9963598840624555,1,False
6997,known,6997,14,8,0.9428989332688253,5,False
7000,known,7000,14,8,0.9945571615829558,1,False
7006,known,7006,14,8,0.9655292448111749,5,False
7011,known,7011,14,8,0.9804399111793837,5,False
7033,known,7033,14,8,0.941493012142297,5,False
7052,known,7052,14,8,0.8974171676518828,5,False
7066,known,7066,14,8,0.9978359166805184,1,False
7075,known,7075,14,8,0.9410187992941944,5,False
7095,known,7095,14,8,0.9235033956005894,5,False
7110,known,7110,14,8,0.9012184316351587,5,False
7142,known,7142,14,8,0.9975036073932813,1,False
7176,known,7176,14,8,0.9657884876278957,5,False
7202,known,7202,15,9,0.996314653024158,2,False
7218,known,7218,15,9,0.9965263129029585,2,False
7225,known,7225,15,9,0.9626229799607128,2,False
7267,known,7267,15,9,0.9925236966297037,2,False
7307,known,7307,15,9,0.9492488026021897,2,False
7332,known,7332,15,9,0.996754121929301,2,False
7335,known,7335,15,9,0.9968608434771685,2,False
7343,known,7343,15,9,0.9889193057666578,2,False
7369,known,7369,15,9,0.9959679810347031,2,False
7378,known,7378,15,9,0.987682947454475,2,False
7383,known,7383,15,9,0.9885784182343904,2,False
7429,known,7429,15,9,0.9885825728984682,2,False
7451,known,7451,15,9,0.9826777948589918,2,False
7463,known,7463,15,9,0.9870469027976377,2,False
7479,known,7479,15,9,0.9965142188430884,2,False
7507,known,7507,15,9,0.9841301676509153,2,False
7528,known,7528,15,9,0.9800736566918853,2,False
7532,known,7532,15,9,0.9815573677710222,2,False
7544,known,7544,15,9,0.9952603653470554,2,False
7569,known,7569,15,9,0.9900756970295488,2,False
7577,known,7577,15,9,0.9948056230218317,2,False
7606,known,7606,15,9,0.9510023977289794,2,False
7610,known,7610,15,9,0.9893071744511693,2,False
7619,known,7619,15,9,0.9620321876065975,2,False
7625,known,7625,15,9,0.9967711735680364,2,False
7636,known,7636,15,9,0.9965586555729288,2,False
7656,known,7656,15,9,0.9884942063537625,2,False
7657,known,7657,15,9,0.9962804795555464,2,False
7660,known,7660,15,9,0.9783331019769239,2,False
7674,known,7674,15,9,0.9964170458459285,2,False
7687,known,7687,15,9,0.9964801030074053,2,False
7701,known,7701,15,9,0.9557755355949676,2,False
7733,known,7733,15,9,0.9413355220875415,2,False
7737,known,7737,15,9,0.9333029809347947,2,False
7750,known,7750,15,9,0.9965408902759932,2,False
7752,known,7752,15,9,0.9819699389825722,2,False
7755,known,7755,15,9,0.9961801127542341,2,False
7763,known,7763,15,9,0.9962679482630414,2,False
7785,known,7785,15,9,0.9954206210897389,2,False
7795,known,7795,15,9,0.9965722999284891,2,False
7824,known,7824,15,9,0.9917563273662579,2,False
7830,known,7830,15,9,0.9550632773262764,2,False
7838,known,7838,15,9,0.9964264336308506,2,False
7843,known,7843,15,9,0.9960394603424666,2,False
7852,known,7852,15,9,0.9959823794543423,2,False
7855,known,7855,15,9,0.9833747384853357,2,False
7874,known,7874,15,9,0.9967095995579389,2,False
7896,known,7896,15,9,0.9967754108414472,2,False
7960,known,7960,15,9,0.996442243332379,2,False
7971,known,7971,15,9,0.9967354917047782,2,False
8000,unknown,0,17,10,0.9986400549330166,4,False
8001,unknown,1,17,10,0.979259866634125,1,False
8002,unknown,2,17,10,0.9986163781731695,1,False
8003,unknown,3,17,10,0.9986030522701312,1,False
8004,unknown,4,17,10,0.9744463825597106,1,False
8005,unknown,5,17,10,0.979189697810445,1,False
8006,unknown,6,17,10,0.9985188626032021,1,False
8007,unknown,7,17,10,0.9793228803877464,1,False
8008,unknown,8,17,10,0.9792536316091548,1,False
8009,unknown,9,17,10,0.9986279026948066,1,False
8010,unknown,10,17,10,0.979235729208413,1,False
8011,unknown,11,17,10,0.9792616121124109,1,False
8012,unknown,12,17,10,0.9828944946549586,5,False
8013,unknown,13,17,10,0.9986135081571821,1,False
8014,unknown,14,17,10,0.9988677170209935,4,False
8015,unknown,15,17,10,0.9984460037148619,1,False
8016,unknown,16,17,10,0.9775982345287911,4,False
8017,unknown,17,17,10,0.9789607268285522,1,False
8018,unknown,18,17,10,0.9986230008751482,1,False
8019,unknown,19,17,10,0.9748488511716199,4,False
8020,unknown,20,17,10,0.9758509036996302,1,False
8021,unknown,21,17,10,0.9986002755051311,4,False
8022,unknown,22,17,10,0.9984167601479842,1,False
8024,unknown,24,17,10,0.9792450196405704,1,False
8025,unknown,25,17,10,0.9979742766479287,1,False
8026,unknown,26,17,10,0.9985949697278571,1,False
8027,unknown,27,17,10,0.998623709782665,1,False
8028,unknown,28,17,10,0.9986120634311072,1,False
8029,unknown,29,17,10,0.9792940296810239,1,False
8030,unknown,30,17,10,0.9981868532885207,1,False
8031,unknown,31,17,10,0.9985779365874988,1,False
8032,unknown,32,17,10,0.9986124645975168,1,False
8033,unknown,33,17,10,0.9790824022742671,1,False
8034,unknown,34,17,10,0.979287952285214,1,False
8035,unknown,35,17,10,0.9793314423220513,1,False
8036,unknown,36,17,10,0.9986147303482675,1,False
8037,unknown,37,17,10,0.9791640888862445,1,False
8038,unknown,38,17,10,0.9720652483721737,1,False
8039,unknown,39,17,10,0.9792526523126414,1,False
8040,unknown,40,17,10,0.9986002096842296,1,False
8041,unknown,41,17,10,0.9986205476649879,1,False
8042,unknown,42,17,10,0.9985859556603646,1,False
8043,unknown,43,17,10,0.976487043526455,1,False
8044,unknown,44,17,10,0.9790327246880944,1,False
8045,unknown,45,17,10,0.9986942703729648,4,False
8046,unknown,46,17,10,0.9793076628843634,1,False
8047,unknown,47,17,10,0.9968410241571796,1,False
8048,unknown,48,17,10,0.9986058396552243,1,False
8049,unknown,49,17,10,0.9792552113223143,1,False
8050,unknown,50,17,10,0.9793429632303106,1,False
8051,unknown,51,17,10,0.9791631240087243,1,False
8052,unknown,52,17,10,0.9985647466721433,1,False
8053,unknown,53,17,10,0.9791199753194444,1,False
8054,unknown,54,17,10,0.9792333620399639,4,False
8055,unknown,55,17,10,0.979370966286901,1,False
8056,unknown,56,17,10,0.9787420488300909,1,False
8057,unknown,57,17,10,0.9986113485330622,1,False
8058,unknown,58,17,10,0.9986192103239606,1,False
8059,unknown,59,17,10,0.9986079015984353,4,False
8060,unknown,60,17,10,0.9985933419856239,1,False
8061,unknown,61,17,10,0.9986185033619452,1,False
8062,unknown,62,17,10,0.9789351704011916,1,False
8064,unknown,64,17,10,0.998540134353234,1,False
8065,unknown,65,17,10,0.9986146086047775,1,False
8066,unknown,66,17,10,0.9792599589910763,1,False
8067,unknown,67,17,10,0.9984146611536144,1,False
8068,unknown,68,17,10,0.9986218752135436,1,False
8069,unknown,69,17,10,0.9792121104301265,1,False
8070,unknown,70,17,10,0.9986208358163908,1,False
8071,unknown,71,17,10,0.981303521553593,4,False
8072,unknown,72,17,10,0.9985857071119534,1,False
8073,unknown,73,17,10,0.9773860241044613,1,False
8074,unknown,74,17,10,0.9766055987488318,1,False
8075,unknown,75,17,10,0.9792788190763579,1,False
8077,unknown,77,17,10,0.9790393233027983,1,False
8079,unknown,79,17,10,0.9792902764727703,1,False
8080,unknown,80,17,10,0.9985600225359292,1,False
8082,unknown,82,17,10,0.9986028304176694,1,False
8083,unknown,83,17,10,0.9985979742566932,1,False
8084,unknown,84,17,10,0.9986797877036079,4,False
8085,unknown,85,17,10,0.998412599755255,1,False
8086,unknown,86,17,10,0.9793308900439366,1,False
8087,unknown,87,17,10,0.9976948312760611,1,False
8088,unknown,88,17,10,0.9986214905790257,4,False
8089,unknown,89,17,10,0.9984478076692751,5,False
8091,unknown,91,17,10,0.9986130388661953,1,False
8092,unknown,92,17,10,0.9986020870632949,1,False
8093,unknown,93,17,10,0.979164710466871,1,False
8095,unknown,95,17,10,0.9986201456412128,4,False
8097,unknown,97,17,10,0.9790387540540622,4,False
8098,unknown,98,17,10,0.9985883027254996,1,False
8100,unknown,100,17,10,0.9985966161439461,1,False
8101,unknown,101,17,10,0.9985834092459898,1,False
8102,unknown,102,17,10,0.9791766004993443,1,False
8104,unknown,104,17,10,0.9792475888127867,1,False
8105,unknown,105,17,10,0.9985658459680117,1,False
8106,unknown,106,17,10,0.9736702229763775,1,False
8107,unknown,107,17,10,0.9986090011282794,1,False
8108,unknown,108,17,10,0.9792354055876883,1,False
8109,unknown,109,17,10,0.9986156676287957,1,False
8111,unknown,111,17,10,0.9985691928582608,1,False
8112,unknown,112,17,10,0.9985971191015118,1,False
8113,unknown,113,17,10,0.9769967234828367,4,False
8114,unknown,114,17,10,0.9985674646250344,1,False
8116,unknown,116,17,10,0.9986016343933675,1,False
8117,unknown,117,17,10,0.979155988124383,1,False
8119,unknown,119,17,10,0.9986143405178531,1,False
8120,unknown,120,17,10,0.9985031135683176,1,False
8122,unknown,122,17,10,0.979250185393538,1,False
8123,unknown,123,17,10,0.9985489111173697,1,False
8125,unknown,125,17,10,0.9790679808049213,1,False
8127,unknown,127,17,10,0.9790886224885635,1,False
8128,unknown,128,17,10,0.9791479214181565,4,False
8129,unknown,129,17,10,0.9775427871285868,1,False
8131,unknown,131,17,10,0.9986198743686112,1,False
8132,unknown,132,17,10,0.9780491523258563,1,False
8133,unknown,133,17,10,0.998604813993301,1,False
8134,unknown,134,17,10,0.9986135466341454,1,False
8135,unknown,135,17,10,0.9792603561213798,1,False
8136,unknown,136,17,10,0.9984689328357474,1,False
8137,unknown,137,17,10,0.9792684448766854,1,False
8138,unknown,138,17,10,0.9792816793939011,1,False
8139,unknown,139,17,10,0.9777001241917006,1,False
8140,unknown,140,17,10,0.9779954515650684,1,False
8141,unknown,141,17,10,0.9986191155864685,1,False
8142,unknown,142,17,10,0.9985657011391059,1,False
8143,unknown,143,17,10,0.9697764039937028,1,False
8144,unknown,144,17,10,0.9985977418703408,1,False
8145,unknown,145,17,10,0.9792866609595836,1,False
8146,unknown,146,17,10,0.9986092241465128,1,False
8147,unknown,147,17,10,0.9778192812539979,1,False
8148,unknown,148,17,10,0.9986095543194694,1,False
8149,unknown,149,17,10,0.9787422664388377,1,False
8150,unknown,150,17,10,0.978794287986077,1,False
8151,unknown,151,17,10,0.998608415535489,1,False
8152,unknown,152,17,10,0.9985971764164293,1,False
8153,unknown,153,17,10,0.9794112507211807,1,False
8154,unknown,154,17,10,0.9792582503223114,1,False
8155,unknown,155,17,10,0.97930266782879,1,False
8156,unknown,156,17,10,0.9792588599172476,1,False
8157,unknown,157,17,10,0.9981244753230857,1,False
8158,unknown,158,17,10,0.9986696945886313,4,False
8159,unknown,159,17,10,0.9792800186114164,1,False
8161,unknown,161,17,10,0.9773500743755213,1,False
8162,unknown,162,17,10,0.9801643561632863,4,False
8163,unknown,163,17,10,0.9786773225047575,1,False
8164,unknown,164,17,10,0.9781271382579936,1,False
8165,unknown,165,17,10,0.9791235821269564,1,False
8168,unknown,168,17,10,0.998611622549413,1,False
8169,unknown,169,17,10,0.9986207709609856,1,False
8171,unknown,171,17,10,0.9985877998774093,1,False
8172,unknown,172,17,10,0.993647293169636,1,False
8173,unknown,173,17,10,0.9986241553163351,1,False
8174,unknown,174,17,10,0.9983997717996025,1,False
8175,unknown,175,17,10,0.9986156729645702,1,False
8177,unknown,177,17,10,0.9986097472414501,1,False
8178,unknown,178,17,10,0.9792828418641103,1,False
8179,unknown,179,17,10,0.9986250311124295,4,False
8180,unknown,180,17,10,0.9791633281210775,1,False
8181,unknown,181,17,10,0.9794622183530987,1,False
8182,unknown,182,17,10,0.9986169220374874,1,False
8183,unknown,183,17,10,0.9792462026074549,1,False
8184,unknown,184,17,10,0.9729340235375206,1,False
8185,unknown,185,17,10,0.9987216600640406,4,False
8186,unknown,186,17,10,0.9981905881421422,1,False
8187,unknown,187,17,10,0.9985155675097228,1,False
8188,unknown,188,17,10,0.9985812618637836,1,False
8189,unknown,189,17,10,0.9691440741290142,1,False
8190,unknown,190,17,10,0.9985981806699855,1,False
8191,unknown,191,17,10,0.9986905374560183,4,False
8192,unknown,192,17,10,0.9986109459736316,1,False
8193,unknown,193,17,10,0.9794101411557586,1,False
8194,unknown,194,17,10,0.9792331678464551,1,False
8195,unknown,195,17,10,0.9985616843440505,1,False
8196,unknown,196,17,10,0.9985934786062358,1,False
8197,unknown,197,17,10,0.9782767906793852,1,False
8198,unknown,198,17,10,0.9758810517522472,1,False
8200,unknown,200,17,10,0.9770210239258977,4,False
8201,unknown,201,17,10,0.9986126121976078,1,False
8203,unknown,203,17,10,0.9986127116583907,1,False
8204,unknown,204,17,10,0.9791141083068686,1,False
8205,unknown,205,17,10,0.9985536081045163,1,False
8207,unknown,207,17,10,0.998783052666802,5,False
8208,unknown,208,17,10,0.9785020150051186,1,False
8210,unknown,210,17,10,0.9786322103602774,1,False
8211,unknown,211,17,10,0.9735775593101468,1,False
8212,unknown,212,17,10,0.9750870916700809,4,False
8213,unknown,213,17,10,0.99859484408379,1,False
8214,unknown,214,17,10,0.9986213460477483,1,False
8215,unknown,215,17,10,0.998623429659189,4,False
8216,unknown,216,17,10,0.9794729181943429,4,False
8217,unknown,217,17,10,0.9776731409153657,1,False
8218,unknown,218,17,10,0.9790691363714651,1,False
8219,unknown,219,17,10,0.979247921488581,1,False
8220,unknown,220,17,10,0.9986175040556114,1,False
8221,unknown,221,17,10,0.9794202717905974,4,False
8222,unknown,222,17,10,0.9793808127542724,1,False
8223,unknown,223,17,10,0.9986099197767971,1,False
8224,unknown,224,17,10,0.979014430210316,1,False
8226,unknown,226,17,10,0.9974287795878939,5,False
8227,unknown,227,17,10,0.9985937463875606,1,False
8228,unknown,228,17,10,0.9985785185516698,1,False
8229,unknown,229,17,10,0.9985829811216758,1,False
8230,unknown,230,17,10,0.9984433832423243,1,False
8231,unknown,231,17,10,0.9792667645903723,1,False
8232,unknown,232,17,10,0.9792903502523214,1,False
8233,unknown,233,17,10,0.9984126499158932,1,False
8234,unknown,234,17,10,0.9986048871262126,1,False
8235,unknown,235,17,10,0.9985828915487196,1,False
8236,unknown,236,17,10,0.9794039870486472,1,False
8237,unknown,237,17,10,0.9972990454592949,1,False
8238,unknown,238,17,10,0.9984634071220507,1,False
8239,unknown,239,17,10,0.998597472686449,1,False
8240,unknown,240,17,10,0.9986095221632071,1,False
8241,unknown,241,17,10,0.9783567783475268,1,False
8242,unknown,242,17,10,0.9792395105818418,1,False
8244,unknown,244,17,10,0.998621401311494,1,False
8245,unknown,245,17,10,0.998581609599399,1,False
8246,unknown,246,17,10,0.9986159546642974,1,False
8247,unknown,247,17,10,0.9976510329579351,1,False
8248,unknown,248,17,10,0.9788109123341215,4,False
8249,unknown,249,17,10,0.9774422306338028,1,False
8250,unknown,250,17,10,0.9984915671697295,1,False
8252,unknown,252,17,10,0.9770289143853024,1,False
8253,unknown,253,17,10,0.9958619823404921,1,False
8254,unknown,254,17,10,0.9986555368364876,4,False
8255,unknown,255,17,10,0.9702507172269149,1,False
8256,unknown,256,17,10,0.9986183425415289,1,False
8257,unknown,257,17,10,0.9985858052283795,1,False
8258,unknown,258,17,10,0.9737555754203993,1,False
8259,unknown,259,17,10,0.9986028767295838,1,False
8260,unknown,260,17,10,0.9986247894229023,4,False
