真实未知类,细分类_-1,细分类_0,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5,细分类_6,细分类_7,细分类_8,细分类_9,细分类_10,细分类_11
10-11,11,0,1,0,30,0,0,757,0,0,0,0,1
10-7,0,0,0,0,0,0,0,800,0,0,0,0,0
11-17,67,0,720,1,0,0,0,0,12,0,0,0,0
14-10,0,0,799,0,1,0,0,0,0,0,0,0,0
16-16,2,0,2,1,0,0,0,0,794,0,0,0,1
2-19,129,0,0,0,0,602,0,0,1,0,0,68,0
20-12,0,0,0,1,0,0,0,0,0,0,799,0,0
20-15,0,800,0,0,0,0,0,0,0,0,0,0,0
20-19,5,10,0,1,784,0,0,0,0,0,0,0,0
6-1,74,0,0,0,0,0,0,0,0,608,0,118,0
8-18,124,0,0,158,0,0,518,0,0,0,0,0,0
8-20,29,0,0,379,0,0,0,0,0,0,0,0,392
