全局样本索引,来源划分,来源内索引,真实标签名_仅离线评估使用,真实开放集标签_仅离线评估使用,未知分数,未知细分类标签,是否不确定样本
192,known,192,20-7,1,0.9676511,11,False
197,known,197,20-7,1,0.9738599,0,False
239,known,239,20-7,1,0.94839203,11,False
272,known,272,20-7,1,0.94821465,-1,True
280,known,280,20-7,1,0.9541351,0,False
293,known,293,20-7,1,0.96213824,6,False
315,known,315,20-7,1,0.963963,-1,True
682,known,682,3-13,4,0.9474152,-1,True
711,known,711,3-13,4,0.94305795,7,False
883,known,883,11-4,5,0.9461739,3,False
1333,known,1333,15-1,8,0.9501133,7,False
1396,known,1396,15-1,8,0.9599894,4,False
1401,known,1401,15-1,8,0.95225984,4,False
1500,known,1500,3-18,9,0.9648707,7,False
1580,known,1580,3-18,9,0.9666408,7,False
1601,known,1601,4-11,10,0.9444802,9,False
1633,known,1633,4-11,10,0.9644256,2,False
1723,known,1723,4-11,10,0.96341956,7,False
1750,known,1750,4-11,10,0.95671266,7,False
1755,known,1755,4-11,10,0.9666911,9,False
1769,known,1769,14-7,11,0.96461457,6,False
1793,known,1793,14-7,11,0.9547464,-1,True
1912,known,1912,14-7,11,0.9617353,0,False
2172,known,2172,5-5,13,0.9640725,0,False
2230,known,2230,5-5,13,0.95686275,0,False
2265,known,2265,11-1,14,0.9477335,4,False
2306,known,2306,11-1,14,0.95585907,4,False
2317,known,2317,11-1,14,0.97295946,4,False
2330,known,2330,11-1,14,0.9687079,4,False
2358,known,2358,11-1,14,0.9739004,0,False
2361,known,2361,11-1,14,0.9406156,4,False
2367,known,2367,11-1,14,0.96934545,4,False
2498,known,2498,1-11,15,0.9424283,7,False
2508,known,2508,1-11,15,0.94099224,-1,True
2560,unknown,0,10-11,16,0.9745008,6,False
2561,unknown,1,10-11,16,0.9749681,6,False
2562,unknown,2,10-11,16,0.9746108,6,False
2563,unknown,3,10-11,16,0.9747015,6,False
2564,unknown,4,10-11,16,0.97463083,6,False
2565,unknown,5,10-11,16,0.97457486,6,False
2566,unknown,6,10-11,16,0.9750849,3,False
2567,unknown,7,10-11,16,0.9747237,6,False
2568,unknown,8,10-11,16,0.9749142,6,False
2569,unknown,9,10-11,16,0.9743777,6,False
2570,unknown,10,10-11,16,0.9751739,6,False
2571,unknown,11,10-11,16,0.9747222,6,False
2572,unknown,12,10-11,16,0.97497445,6,False
2573,unknown,13,10-11,16,0.97494483,6,False
2574,unknown,14,10-11,16,0.9746548,6,False
2575,unknown,15,10-11,16,0.97474873,6,False
2576,unknown,16,10-11,16,0.9747461,6,False
2577,unknown,17,10-11,16,0.97488475,6,False
2578,unknown,18,10-11,16,0.9748719,6,False
2579,unknown,19,10-11,16,0.9748606,6,False
2580,unknown,20,10-11,16,0.9749323,6,False
2581,unknown,21,10-11,16,0.97455394,6,False
2582,unknown,22,10-11,16,0.97432303,6,False
2583,unknown,23,10-11,16,0.97508836,6,False
2584,unknown,24,10-11,16,0.9748812,6,False
2585,unknown,25,10-11,16,0.9749263,6,False
2586,unknown,26,10-11,16,0.97479206,6,False
2587,unknown,27,10-11,16,0.97476226,6,False
2588,unknown,28,10-11,16,0.9746702,6,False
2589,unknown,29,10-11,16,0.9751758,6,False
2590,unknown,30,10-11,16,0.9747789,6,False
2591,unknown,31,10-11,16,0.9747981,6,False
2592,unknown,32,10-11,16,0.97471595,6,False
2593,unknown,33,10-11,16,0.97486556,6,False
2594,unknown,34,10-11,16,0.97467583,6,False
2595,unknown,35,10-11,16,0.9747112,6,False
2596,unknown,36,10-11,16,0.97492015,6,False
2597,unknown,37,10-11,16,0.97532946,-1,True
2598,unknown,38,10-11,16,0.9748852,6,False
2599,unknown,39,10-11,16,0.97477984,6,False
2600,unknown,40,10-11,16,0.974656,6,False
2601,unknown,41,10-11,16,0.9747352,6,False
2602,unknown,42,10-11,16,0.9749167,6,False
2603,unknown,43,10-11,16,0.9743539,6,False
2604,unknown,44,10-11,16,0.97479194,6,False
2605,unknown,45,10-11,16,0.9748709,6,False
2606,unknown,46,10-11,16,0.97467464,6,False
2607,unknown,47,10-11,16,0.97491205,6,False
2608,unknown,48,10-11,16,0.9746093,6,False
2609,unknown,49,10-11,16,0.9749304,6,False
2610,unknown,50,10-11,16,0.9748675,6,False
2611,unknown,51,10-11,16,0.9743464,6,False
2612,unknown,52,10-11,16,0.97485334,6,False
2613,unknown,53,10-11,16,0.97492504,6,False
2614,unknown,54,10-11,16,0.97484356,6,False
2615,unknown,55,10-11,16,0.97474897,6,False
2616,unknown,56,10-11,16,0.97519195,6,False
2617,unknown,57,10-11,16,0.97461617,6,False
2618,unknown,58,10-11,16,0.9747673,6,False
2619,unknown,59,10-11,16,0.97477555,6,False
2620,unknown,60,10-11,16,0.9750051,6,False
2621,unknown,61,10-11,16,0.9735302,11,False
2622,unknown,62,10-11,16,0.97477907,6,False
2623,unknown,63,10-11,16,0.97469956,3,False
2624,unknown,64,10-11,16,0.97483253,6,False
2625,unknown,65,10-11,16,0.9743627,6,False
2626,unknown,66,10-11,16,0.9746318,6,False
2627,unknown,67,10-11,16,0.9749291,6,False
2628,unknown,68,10-11,16,0.9747418,6,False
2629,unknown,69,10-11,16,0.9742628,6,False
2630,unknown,70,10-11,16,0.9748823,6,False
2631,unknown,71,10-11,16,0.97473615,6,False
2632,unknown,72,10-11,16,0.9744103,3,False
2633,unknown,73,10-11,16,0.97474885,6,False
2634,unknown,74,10-11,16,0.9749594,3,False
2635,unknown,75,10-11,16,0.9749747,6,False
2636,unknown,76,10-11,16,0.97467595,6,False
2637,unknown,77,10-11,16,0.9749392,6,False
2638,unknown,78,10-11,16,0.9749846,6,False
2639,unknown,79,10-11,16,0.97475547,6,False
2640,unknown,80,10-11,16,0.97486013,6,False
2641,unknown,81,10-11,16,0.9750715,6,False
2642,unknown,82,10-11,16,0.9744473,6,False
2643,unknown,83,10-11,16,0.9748736,6,False
2644,unknown,84,10-11,16,0.97449565,3,False
2645,unknown,85,10-11,16,0.97475564,6,False
2646,unknown,86,10-11,16,0.97463495,6,False
2647,unknown,87,10-11,16,0.97480845,6,False
2648,unknown,88,10-11,16,0.97473013,6,False
2649,unknown,89,10-11,16,0.97473574,6,False
2650,unknown,90,10-11,16,0.9747619,6,False
2651,unknown,91,10-11,16,0.97478837,6,False
2652,unknown,92,10-11,16,0.97469884,6,False
2653,unknown,93,10-11,16,0.97511905,-1,True
2654,unknown,94,10-11,16,0.9748054,6,False
2655,unknown,95,10-11,16,0.9747851,6,False
2656,unknown,96,10-11,16,0.97445744,6,False
2657,unknown,97,10-11,16,0.97486365,6,False
2658,unknown,98,10-11,16,0.9748107,6,False
2659,unknown,99,10-11,16,0.97501105,6,False
2660,unknown,100,10-11,16,0.9747939,6,False
2661,unknown,101,10-11,16,0.9744861,6,False
2662,unknown,102,10-11,16,0.9748384,6,False
2663,unknown,103,10-11,16,0.97470987,6,False
2664,unknown,104,10-11,16,0.97452915,6,False
2665,unknown,105,10-11,16,0.974844,6,False
2666,unknown,106,10-11,16,0.9752413,6,False
2667,unknown,107,10-11,16,0.9748725,6,False
2668,unknown,108,10-11,16,0.97469956,6,False
2669,unknown,109,10-11,16,0.97474444,6,False
2670,unknown,110,10-11,16,0.97469234,6,False
2671,unknown,111,10-11,16,0.97434056,6,False
2672,unknown,112,10-11,16,0.9748372,6,False
2673,unknown,113,10-11,16,0.97486854,3,False
2674,unknown,114,10-11,16,0.9748924,6,False
2675,unknown,115,10-11,16,0.97483635,6,False
2676,unknown,116,10-11,16,0.97461104,6,False
2677,unknown,117,10-11,16,0.97482765,6,False
2678,unknown,118,10-11,16,0.9750138,6,False
2679,unknown,119,10-11,16,0.9748046,6,False
2680,unknown,120,10-11,16,0.97475725,6,False
2681,unknown,121,10-11,16,0.97461885,6,False
2682,unknown,122,10-11,16,0.9744503,6,False
2683,unknown,123,10-11,16,0.9746833,6,False
2684,unknown,124,10-11,16,0.97507125,6,False
2685,unknown,125,10-11,16,0.9747351,6,False
2686,unknown,126,10-11,16,0.97483766,6,False
2687,unknown,127,10-11,16,0.97485197,3,False
2688,unknown,128,10-11,16,0.97477955,6,False
2689,unknown,129,10-11,16,0.9749012,6,False
2690,unknown,130,10-11,16,0.97486746,6,False
2691,unknown,131,10-11,16,0.9747909,6,False
2692,unknown,132,10-11,16,0.9745189,3,False
2693,unknown,133,10-11,16,0.9749624,6,False
2694,unknown,134,10-11,16,0.97493696,6,False
2695,unknown,135,10-11,16,0.9754993,6,False
2696,unknown,136,10-11,16,0.9748862,6,False
2697,unknown,137,10-11,16,0.97486633,6,False
2698,unknown,138,10-11,16,0.9744558,6,False
2699,unknown,139,10-11,16,0.9746583,6,False
2700,unknown,140,10-11,16,0.97452813,6,False
2701,unknown,141,10-11,16,0.97507316,6,False
2702,unknown,142,10-11,16,0.9745598,6,False
2703,unknown,143,10-11,16,0.974976,6,False
2704,unknown,144,10-11,16,0.97490203,6,False
2705,unknown,145,10-11,16,0.9750559,6,False
2706,unknown,146,10-11,16,0.9752215,6,False
2707,unknown,147,10-11,16,0.9743983,6,False
2708,unknown,148,10-11,16,0.97486866,6,False
2709,unknown,149,10-11,16,0.9746027,6,False
2710,unknown,150,10-11,16,0.9747266,6,False
2711,unknown,151,10-11,16,0.9751211,6,False
2712,unknown,152,10-11,16,0.9748508,6,False
2713,unknown,153,10-11,16,0.9748678,6,False
2714,unknown,154,10-11,16,0.97492737,6,False
2715,unknown,155,10-11,16,0.975002,6,False
2716,unknown,156,10-11,16,0.97486985,6,False
2717,unknown,157,10-11,16,0.9745009,6,False
2718,unknown,158,10-11,16,0.9749007,-1,True
2719,unknown,159,10-11,16,0.97459096,6,False
2720,unknown,160,10-11,16,0.97483104,6,False
2721,unknown,161,10-11,16,0.9746825,6,False
2722,unknown,162,10-11,16,0.97488683,6,False
2723,unknown,163,10-11,16,0.9747502,6,False
2724,unknown,164,10-11,16,0.9747104,6,False
2725,unknown,165,10-11,16,0.97482026,6,False
2726,unknown,166,10-11,16,0.97486717,6,False
2727,unknown,167,10-11,16,0.9746947,3,False
2728,unknown,168,10-11,16,0.97492045,6,False
2729,unknown,169,10-11,16,0.9749943,6,False
2730,unknown,170,10-11,16,0.9752988,3,False
2731,unknown,171,10-11,16,0.9749226,6,False
2732,unknown,172,10-11,16,0.97478724,6,False
2733,unknown,173,10-11,16,0.9749221,6,False
2734,unknown,174,10-11,16,0.97486806,6,False
2735,unknown,175,10-11,16,0.9750412,6,False
2736,unknown,176,10-11,16,0.9747907,6,False
2737,unknown,177,10-11,16,0.9750048,6,False
2738,unknown,178,10-11,16,0.97472036,6,False
2739,unknown,179,10-11,16,0.9749117,6,False
2740,unknown,180,10-11,16,0.9748224,6,False
2741,unknown,181,10-11,16,0.97482985,6,False
2742,unknown,182,10-11,16,0.97493136,6,False
2743,unknown,183,10-11,16,0.9747396,6,False
