angular_loss,ari,auroc,category,classification_loss,coverage_of_total_test_unknown,dataset,feature_mode,fit_num_clusters,hungarian_accuracy,known_accuracy,macro_f1,mbs,nmi,oscr,pcbs_cae,prototype_loss,provenance,purity,resolved_num_clusters,uncertain_ratio,unknown_recall,validation_auroc,validation_known_accuracy,validation_oscr,validation_pseudo_unknown_recall,variant,variant_slug
,,,boundary_modules,,,oracle,,,,0.9782,0.6489,False,,0.0,False,,Closed-set prototype classifier; no open-set rejection operating point is applied.,,,,0.0,,,,,Prototype classifier,prototype_classifier
,,,boundary_modules,,,oracle,,,,0.9219,0.7945,True,,0.8936,False,,Supervised calibrator retrained with ordinary marginal boundary samples only; real test unknowns are not used for selection.,,,,0.7495,0.9307,0.93,0.8982,0.5975,MBS-Calib,mbs_calib
,,,boundary_modules,,,oracle,,,,0.9455,0.9281,True,,0.9415,True,,Formal Oracle supervised-calibrator PCBM output in outputs/oracle_supervised_calibrator/final.,,,,0.9652,0.9566,0.93,0.9123,0.7659,PCBM,pcbm
,,,boundary_modules,,,wisig,,,,0.998,0.6121,False,,0.0,False,,Closed-set prototype classifier; no open-set rejection operating point is applied.,,,,0.0,,,,,Prototype classifier,prototype_classifier
,,,boundary_modules,,,wisig,,,,0.9828,0.9917,True,,0.9828,False,,Current-artifact supervised calibrator retrained with ordinary marginal boundary samples only under the same 99.5% validation-known target used by WiSig PCBM.,,,,1.0,0.9702,0.9953,0.9694,0.512,MBS-Calib,mbs_calib
,,,boundary_modules,,,wisig,,,,0.9836,0.992,True,,0.9836,True,,Formal WiSig supervised-calibrator PCBM output in outputs/wisig_supervised_calibrator_formal/final after artifact-fingerprint cache invalidation and reselection.,,,,1.0,0.9751,0.9953,0.9731,0.5862,PCBM,pcbm
False,,0.9615,losses,True,,oracle,,,,0.8835,0.8941,,,,,False,,,,,0.942,,,,,CE only,ce_only
True,,0.9808,losses,True,,oracle,,,,0.8828,0.9276,,,,,False,,,,,0.9895,,,,,CE + Angular,ce_angular
False,,0.9679,losses,True,,oracle,,,,0.8754,0.8952,,,,,True,,,,,0.9591,,,,,CE + Prototype,ce_prototype
True,,0.9708,losses,True,,oracle,,,,0.8736,0.9211,,,,,True,,,,,0.9893,,,,,Full embedding learning,full_embedding_learning
False,,0.9963,losses,True,,wisig,,,,0.8809,0.9391,,,,,False,,,,,1.0,,,,,CE only,ce_only
True,,0.995,losses,True,,wisig,,,,0.8789,0.9381,,,,,False,,,,,1.0,,,,,CE + Angular,ce_angular
False,,0.997,losses,True,,wisig,,,,0.884,0.9407,,,,,True,,,,,1.0,,,,,CE + Prototype,ce_prototype
True,,0.9949,losses,True,,wisig,,,,0.8848,0.9409,,,,,True,,,,,1.0,,,,,Full embedding learning,full_embedding_learning
,0.569579,,subdivision,,0.946667,oracle,embedding,4,0.516813,,,,0.753548,,,,,0.516813,3,0.020033,,,,,,Embedding only,embedding_only
,0.608505,,subdivision,,0.946875,oracle,iq_stats,6,0.679252,,,,0.744879,,,,,0.688933,6,0.020033,,,,,,I/Q descriptors only,iq_descriptors_only
,0.954799,,subdivision,,0.943083,oracle,embedding_stats,8,0.979279,,,,0.963448,,,,,0.979279,6,0.032495,,,,,,Feature fusion,feature_fusion
,0.998409,,subdivision,,1.0,wisig,embedding,12,0.999271,,,,0.997803,,,,,0.999271,12,0.0,,,,,,Embedding only,embedding_only
,0.509703,,subdivision,,1.0,wisig,iq_stats,5,0.416563,,,,0.771745,,,,,0.416563,5,0.0,,,,,,I/Q descriptors only,iq_descriptors_only
,0.998637,,subdivision,,1.0,wisig,embedding_iq_stats,13,0.999375,,,,0.998125,,,,,0.999375,12,0.0,,,,,,Feature fusion,feature_fusion
