全局样本索引,来源划分,来源内索引,真实标签名_仅离线评估使用,真实开放集标签_仅离线评估使用,未知分数,未知细分类标签,是否不确定样本
1848,known,1848,3,2,0.9985962904525573,0,False
1871,known,1871,3,2,0.998670005638058,0,False
1929,known,1929,3,2,0.9986153328561269,0,False
1952,known,1952,3,2,0.9984756620471281,0,False
2041,known,2041,3,2,0.9650283334834082,0,False
2213,known,2213,3,2,0.9986091725682047,0,False
2335,known,2335,3,2,0.9985736136202057,0,False
3426,known,3426,5,4,0.9771469503605944,4,False
3508,known,3508,5,4,0.9774779919812431,4,False
3528,known,3528,5,4,0.9751099822952862,4,False
3709,known,3709,5,4,0.9780270185011648,4,False
3720,known,3720,5,4,0.9797500760167268,4,False
3737,known,3737,5,4,0.979350370071186,4,False
3807,known,3807,5,4,0.9748324805965418,4,False
3907,known,3907,5,4,0.979427752154932,4,False
3999,known,3999,5,4,0.9765134486622814,4,False
4038,known,4038,7,5,0.9921051360406482,3,False
4122,known,4122,7,5,0.9988517823447607,3,False
4197,known,4197,7,5,0.9914480790267663,3,False
4203,known,4203,7,5,0.9923645814066372,3,False
4213,known,4213,7,5,0.9921530733649966,3,False
4260,known,4260,7,5,0.9826558382709394,3,False
4308,known,4308,7,5,0.9987965525965513,3,False
4339,known,4339,7,5,0.9989585807520708,3,False
4392,known,4392,7,5,0.9918172922590764,3,False
4405,known,4405,7,5,0.9924307298279663,3,False
4407,known,4407,7,5,0.9986197973954255,3,False
4448,known,4448,7,5,0.9922208934490188,3,False
4464,known,4464,7,5,0.9988282475678228,3,False
4469,known,4469,7,5,0.9963132558691377,3,False
4478,known,4478,7,5,0.992155864853511,3,False
4489,known,4489,7,5,0.9917943768258787,3,False
4511,known,4511,7,5,0.9919084253859247,3,False
4561,known,4561,7,5,0.9988819821236942,3,False
4581,known,4581,7,5,0.9981419473762335,3,False
4583,known,4583,7,5,0.9899478286175137,3,False
4598,known,4598,7,5,0.9988739144471084,3,False
4610,known,4610,7,5,0.9913105737915339,3,False
4625,known,4625,7,5,0.998379156997329,3,False
4664,known,4664,7,5,0.9876867572835117,3,False
4665,known,4665,7,5,0.9988811852082474,3,False
4669,known,4669,7,5,0.998829416171749,3,False
4676,known,4676,7,5,0.9915169295688714,3,False
4689,known,4689,7,5,0.998760642168411,3,False
4759,known,4759,7,5,0.9884815168242385,3,False
4761,known,4761,7,5,0.9913770214359866,3,False
4784,known,4784,7,5,0.998014035356051,3,False
4791,known,4791,7,5,0.9988066387728738,3,False
5036,known,5036,9,6,0.9827273208264928,3,False
5041,known,5041,9,6,0.9855504607620658,3,False
5076,known,5076,9,6,0.9922329013833397,3,False
5095,known,5095,9,6,0.992120171931731,3,False
5101,known,5101,9,6,0.9988856798231621,3,False
5178,known,5178,9,6,0.9915422988146381,3,False
5198,known,5198,9,6,0.9803177048227482,3,False
5253,known,5253,9,6,0.9805253802500972,3,False
5258,known,5258,9,6,0.9856860759327538,3,False
5293,known,5293,9,6,0.977337847501149,3,False
5316,known,5316,9,6,0.9932823113180241,3,False
5325,known,5325,9,6,0.9738503040977728,2,False
5421,known,5421,9,6,0.984774206417157,3,False
5430,known,5430,9,6,0.97587392463278,3,False
5450,known,5450,9,6,0.9819751728303476,3,False
5522,known,5522,9,6,0.9891169074277988,2,False
5578,known,5578,9,6,0.9885780806949086,3,False
5614,known,5614,13,7,0.9786873977496529,4,False
5688,known,5688,13,7,0.9800350874009193,4,False
5753,known,5753,13,7,0.9741247825861384,4,False
5786,known,5786,13,7,0.9795261762048427,4,False
5798,known,5798,13,7,0.9986231408750689,4,False
5915,known,5915,13,7,0.9986303432805317,0,False
5945,known,5945,13,7,0.97935236579939,4,False
5979,known,5979,13,7,0.9794205666664284,4,False
6012,known,6012,13,7,0.9753844141170291,4,False
6032,known,6032,13,7,0.9794714628059619,4,False
6213,known,6213,13,7,0.9779855502822387,4,False
6217,known,6217,13,7,0.9711508703152275,4,False
6221,known,6221,13,7,0.9782557301213018,4,False
6296,known,6296,13,7,0.98295097323472,4,False
6310,known,6310,13,7,0.9712412886147661,4,False
6405,known,6405,14,8,0.9873777498631248,0,False
6421,known,6421,14,8,0.9976425432811756,0,False
6428,known,6428,14,8,0.9846375387934909,0,False
6435,known,6435,14,8,0.8949174317915528,0,False
6451,known,6451,14,8,0.8663610405799779,0,False
6513,known,6513,14,8,0.8802038649369163,0,False
6520,known,6520,14,8,0.9975757340420183,0,False
6544,known,6544,14,8,0.9730382399223512,0,False
6585,known,6585,14,8,0.9773925770897884,0,False
6618,known,6618,14,8,0.9850240966383976,0,False
6620,known,6620,14,8,0.9879553402832014,0,False
6642,known,6642,14,8,0.9966786202042747,0,False
6673,known,6673,14,8,0.9454685272397862,0,False
6689,known,6689,14,8,0.9969991298333656,0,False
6720,known,6720,14,8,0.9113460830451328,0,False
6747,known,6747,14,8,0.8655874217049725,0,False
6794,known,6794,14,8,0.8699124232207572,0,False
6805,known,6805,14,8,0.9759199831552202,0,False
6816,known,6816,14,8,0.8839232395302083,3,False
6855,known,6855,14,8,0.9635920389974729,0,False
6887,known,6887,14,8,0.9951738236719916,0,False
6891,known,6891,14,8,0.9178528993673025,0,False
6935,known,6935,14,8,0.9746671715867714,0,False
6955,known,6955,14,8,0.863343976958308,0,False
6958,known,6958,14,8,0.946182058041693,0,False
6990,known,6990,14,8,0.9963631817808145,0,False
6997,known,6997,14,8,0.9429363289739631,0,False
7000,known,7000,14,8,0.9945619162939137,0,False
7006,known,7006,14,8,0.9655537062860556,0,False
7011,known,7011,14,8,0.980454859223704,0,False
7033,known,7033,14,8,0.941531162741328,0,False
7052,known,7052,14,8,0.897476637821302,0,False
7066,known,7066,14,8,0.9978379662044886,0,False
7075,known,7075,14,8,0.9410572033492909,0,False
7095,known,7095,14,8,0.9235507713924027,0,False
7110,known,7110,14,8,0.9012762264186925,0,False
7142,known,7142,14,8,0.9975059435891499,0,False
7176,known,7176,14,8,0.9658127914031892,0,False
7202,known,7202,15,9,0.9963093423953872,2,False
7218,known,7218,15,9,0.996521258388837,2,False
7225,known,7225,15,9,0.962590624333536,2,False
7267,known,7267,15,9,0.9925141923678782,2,False
7307,known,7307,15,9,0.9492090645958379,2,False
7332,known,7332,15,9,0.996749346566091,2,False
7335,known,7335,15,9,0.9968562002006393,2,False
7343,known,7343,15,9,0.9889062831630234,2,False
7369,known,7369,15,9,0.995962257222223,2,False
7378,known,7378,15,9,0.9876687928960468,2,False
7383,known,7383,15,9,0.9885650801449319,2,False
