全局样本索引,来源划分,来源内索引,真实标签名_仅离线评估使用,真实开放集标签_仅离线评估使用,未知分数,未知细分类标签,是否不确定样本
4,known,4,1,0,0.994630118655504,-1,True
12,known,12,1,0,0.8619027226517604,-1,True
23,known,23,1,0,0.6744363283824583,-1,True
24,known,24,1,0,0.7547506741511067,-1,True
25,known,25,1,0,0.7571663982068481,-1,True
55,known,55,1,0,0.6651390853303198,-1,True
57,known,57,1,0,0.8923791973583521,-1,True
58,known,58,1,0,0.9808214255112176,-1,True
83,known,83,1,0,0.9934331982375075,-1,True
84,known,84,1,0,0.7131703937451035,-1,True
86,known,86,1,0,0.7137156205555472,-1,True
129,known,129,1,0,0.6623489711339796,-1,True
136,known,136,1,0,0.9867692766242978,-1,True
137,known,137,1,0,0.6878184404425395,-1,True
145,known,145,1,0,0.6996402088420111,-1,True
157,known,157,1,0,0.993830131009079,-1,True
158,known,158,1,0,0.9926051589226491,-1,True
163,known,163,1,0,0.7574958768912986,-1,True
165,known,165,1,0,0.9594733139180923,-1,True
169,known,169,1,0,0.9006852045021067,-1,True
188,known,188,1,0,0.9787788180952836,-1,True
198,known,198,1,0,0.8879468085081945,-1,True
199,known,199,1,0,0.9847910922826602,-1,True
202,known,202,1,0,0.9937911168427359,-1,True
224,known,224,1,0,0.92398198617765,-1,True
226,known,226,1,0,0.8376855733221559,-1,True
249,known,249,1,0,0.9959360627048738,-1,True
252,known,252,1,0,0.9283508592651666,-1,True
273,known,273,1,0,0.7566959258755351,-1,True
288,known,288,1,0,0.73212075570867,-1,True
305,known,305,1,0,0.771360495965997,-1,True
311,known,311,1,0,0.7550640585406234,-1,True
337,known,337,1,0,0.7428882977138936,-1,True
338,known,338,1,0,0.9187507215885911,-1,True
340,known,340,1,0,0.976783855625555,-1,True
356,known,356,1,0,0.9924241077685684,-1,True
361,known,361,1,0,0.9760089633844732,-1,True
375,known,375,1,0,0.9203753153345003,-1,True
376,known,376,1,0,0.8497680213844955,-1,True
382,known,382,1,0,0.990023658402413,-1,True
385,known,385,1,0,0.9930665297015197,-1,True
391,known,391,1,0,0.9906256646030175,-1,True
408,known,408,1,0,0.8061573160054291,-1,True
410,known,410,1,0,0.9128664380479682,-1,True
412,known,412,1,0,0.9821051030138656,-1,True
421,known,421,1,0,0.9803724101562541,-1,True
464,known,464,1,0,0.8252658745960666,-1,True
505,known,505,1,0,0.7396320700551201,-1,True
508,known,508,1,0,0.9828195056414997,-1,True
512,known,512,1,0,0.6730853163971661,-1,True
515,known,515,1,0,0.9760155466514693,-1,True
532,known,532,1,0,0.9942287604086176,-1,True
533,known,533,1,0,0.9645361664745307,-1,True
538,known,538,1,0,0.9939732313300528,-1,True
547,known,547,1,0,0.9955334114989983,-1,True
582,known,582,1,0,0.9323469696287429,-1,True
585,known,585,1,0,0.6663769964589548,-1,True
594,known,594,1,0,0.6810809248615581,-1,True
600,known,600,1,0,0.9362162615719484,-1,True
606,known,606,1,0,0.9765757780489922,-1,True
609,known,609,1,0,0.963767384305517,-1,True
615,known,615,1,0,0.7715477790056643,-1,True
619,known,619,1,0,0.7503978002356813,-1,True
624,known,624,1,0,0.8586250096025907,-1,True
640,known,640,1,0,0.982954669033676,-1,True
642,known,642,1,0,0.9881657241426743,-1,True
646,known,646,1,0,0.7329164608336709,-1,True
667,known,667,1,0,0.850988928747468,-1,True
681,known,681,1,0,0.9116189733683396,-1,True
683,known,683,1,0,0.736108194503247,-1,True
686,known,686,1,0,0.9675168796017323,-1,True
688,known,688,1,0,0.8402007776288279,-1,True
697,known,697,1,0,0.9946403948814411,-1,True
698,known,698,1,0,0.9942048753166987,-1,True
703,known,703,1,0,0.987946026255451,-1,True
711,known,711,1,0,0.9931159177982731,-1,True
732,known,732,1,0,0.9718479983680866,-1,True
746,known,746,1,0,0.8972880617396599,-1,True
748,known,748,1,0,0.742869601488572,-1,True
758,known,758,1,0,0.8000125746378351,-1,True
766,known,766,1,0,0.9960726730153381,-1,True
770,known,770,1,0,0.960127385949579,-1,True
773,known,773,1,0,0.9828365709546364,-1,True
785,known,785,1,0,0.9799741561355797,-1,True
795,known,795,1,0,0.9618860836164271,-1,True
835,known,835,2,1,0.9939841938146818,-1,True
891,known,891,2,1,0.9943826613525637,-1,True
906,known,906,2,1,0.9734044201958587,-1,True
993,known,993,2,1,0.9874643516185826,-1,True
1031,known,1031,2,1,0.9737700720708493,-1,True
1137,known,1137,2,1,0.9739697917500444,-1,True
1148,known,1148,2,1,0.9750022519115237,-1,True
1180,known,1180,2,1,0.9746207009773881,-1,True
1188,known,1188,2,1,0.9752188222662992,-1,True
1207,known,1207,2,1,0.9952192479507614,-1,True
1208,known,1208,2,1,0.9961111184905721,-1,True
1377,known,1377,2,1,0.9945526503273872,-1,True
1411,known,1411,2,1,0.9716659600890846,-1,True
1579,known,1579,2,1,0.9873995732715264,-1,True
