全局样本索引,来源划分,来源内索引,真实标签名_仅离线评估使用,真实开放集标签_仅离线评估使用,未知分数,未知细分类标签,是否不确定样本
192,known,192,20-7,1,0.9676511,3,False
197,known,197,20-7,1,0.9738599,-1,True
239,known,239,20-7,1,0.94839203,-1,True
272,known,272,20-7,1,0.94821465,-1,True
280,known,280,20-7,1,0.9541351,-1,True
293,known,293,20-7,1,0.96213824,-1,True
315,known,315,20-7,1,0.963963,-1,True
682,known,682,3-13,4,0.9474152,-1,True
711,known,711,3-13,4,0.94305795,-1,True
883,known,883,11-4,5,0.9461739,-1,True
1333,known,1333,15-1,8,0.9501133,-1,True
1396,known,1396,15-1,8,0.9599894,-1,True
1401,known,1401,15-1,8,0.95225984,-1,True
1500,known,1500,3-18,9,0.9648707,-1,True
1580,known,1580,3-18,9,0.9666408,-1,True
1601,known,1601,4-11,10,0.9444802,-1,True
1633,known,1633,4-11,10,0.9644256,-1,True
1723,known,1723,4-11,10,0.96341956,-1,True
1750,known,1750,4-11,10,0.95671266,-1,True
1755,known,1755,4-11,10,0.9666911,-1,True
1769,known,1769,14-7,11,0.96461457,-1,True
1793,known,1793,14-7,11,0.9547464,-1,True
1912,known,1912,14-7,11,0.9617353,-1,True
2172,known,2172,5-5,13,0.9640725,-1,True
2230,known,2230,5-5,13,0.95686275,-1,True
2265,known,2265,11-1,14,0.9477335,-1,True
2306,known,2306,11-1,14,0.95585907,-1,True
2317,known,2317,11-1,14,0.97295946,-1,True
2330,known,2330,11-1,14,0.9687079,-1,True
2358,known,2358,11-1,14,0.9739004,-1,True
2361,known,2361,11-1,14,0.9406156,-1,True
2367,known,2367,11-1,14,0.96934545,-1,True
2498,known,2498,1-11,15,0.94242805,-1,True
2508,known,2508,1-11,15,0.94099194,-1,True
2560,unknown,0,10-11,16,0.9745008,11,False
2561,unknown,1,10-11,16,0.9749681,11,False
2562,unknown,2,10-11,16,0.9746108,11,False
2563,unknown,3,10-11,16,0.9747015,11,False
2564,unknown,4,10-11,16,0.97463083,11,False
2565,unknown,5,10-11,16,0.97457486,11,False
2566,unknown,6,10-11,16,0.9750849,11,False
2567,unknown,7,10-11,16,0.9747237,11,False
2568,unknown,8,10-11,16,0.9749142,11,False
2569,unknown,9,10-11,16,0.9743777,11,False
2570,unknown,10,10-11,16,0.9751739,11,False
2571,unknown,11,10-11,16,0.9747222,11,False
2572,unknown,12,10-11,16,0.97497445,11,False
2573,unknown,13,10-11,16,0.97494483,11,False
2574,unknown,14,10-11,16,0.9746548,11,False
2575,unknown,15,10-11,16,0.97474873,11,False
2576,unknown,16,10-11,16,0.9747461,11,False
2577,unknown,17,10-11,16,0.97488475,11,False
2578,unknown,18,10-11,16,0.9748719,11,False
2579,unknown,19,10-11,16,0.9748606,11,False
2580,unknown,20,10-11,16,0.9749323,11,False
2581,unknown,21,10-11,16,0.97455394,11,False
2582,unknown,22,10-11,16,0.97432303,11,False
2583,unknown,23,10-11,16,0.97508836,11,False
2584,unknown,24,10-11,16,0.9748812,11,False
2585,unknown,25,10-11,16,0.9749263,11,False
2586,unknown,26,10-11,16,0.97479206,11,False
2587,unknown,27,10-11,16,0.97476226,11,False
2588,unknown,28,10-11,16,0.9746702,11,False
2589,unknown,29,10-11,16,0.9751758,11,False
2590,unknown,30,10-11,16,0.9747789,11,False
2591,unknown,31,10-11,16,0.9747981,11,False
2592,unknown,32,10-11,16,0.97471595,11,False
2593,unknown,33,10-11,16,0.97486556,11,False
2594,unknown,34,10-11,16,0.97467583,11,False
2595,unknown,35,10-11,16,0.9747112,11,False
2596,unknown,36,10-11,16,0.97492015,11,False
2597,unknown,37,10-11,16,0.97532946,11,False
2598,unknown,38,10-11,16,0.9748852,11,False
2599,unknown,39,10-11,16,0.97477984,11,False
2600,unknown,40,10-11,16,0.974656,11,False
2601,unknown,41,10-11,16,0.9747352,11,False
2602,unknown,42,10-11,16,0.9749167,11,False
2603,unknown,43,10-11,16,0.9743539,11,False
2604,unknown,44,10-11,16,0.97479194,11,False
2605,unknown,45,10-11,16,0.9748709,11,False
2606,unknown,46,10-11,16,0.97467464,11,False
2607,unknown,47,10-11,16,0.97491205,11,False
2608,unknown,48,10-11,16,0.9746093,11,False
2609,unknown,49,10-11,16,0.9749304,11,False
2610,unknown,50,10-11,16,0.9748675,11,False
2611,unknown,51,10-11,16,0.9743464,11,False
2612,unknown,52,10-11,16,0.97485334,11,False
2613,unknown,53,10-11,16,0.97492504,11,False
2614,unknown,54,10-11,16,0.97484356,11,False
2615,unknown,55,10-11,16,0.97474897,11,False
2616,unknown,56,10-11,16,0.97519195,11,False
2617,unknown,57,10-11,16,0.97461617,11,False
2618,unknown,58,10-11,16,0.9747673,11,False
2619,unknown,59,10-11,16,0.97477555,11,False
2620,unknown,60,10-11,16,0.9750051,11,False
2621,unknown,61,10-11,16,0.9735302,11,False
2622,unknown,62,10-11,16,0.97477907,11,False
2623,unknown,63,10-11,16,0.97469956,11,False
2624,unknown,64,10-11,16,0.97483253,11,False
2625,unknown,65,10-11,16,0.9743627,11,False
2626,unknown,66,10-11,16,0.9746318,11,False
2627,unknown,67,10-11,16,0.9749291,11,False
2628,unknown,68,10-11,16,0.9747418,11,False
2629,unknown,69,10-11,16,0.9742628,11,False
2630,unknown,70,10-11,16,0.9748823,11,False
2631,unknown,71,10-11,16,0.97473615,11,False
2632,unknown,72,10-11,16,0.9744103,11,False
2633,unknown,73,10-11,16,0.97474885,11,False
2634,unknown,74,10-11,16,0.9749594,11,False
2635,unknown,75,10-11,16,0.9749747,11,False
2636,unknown,76,10-11,16,0.97467595,11,False
2637,unknown,77,10-11,16,0.9749392,11,False
2638,unknown,78,10-11,16,0.9749846,11,False
2639,unknown,79,10-11,16,0.97475547,11,False
2640,unknown,80,10-11,16,0.97486013,11,False
2641,unknown,81,10-11,16,0.9750715,11,False
2642,unknown,82,10-11,16,0.9744473,11,False
2643,unknown,83,10-11,16,0.9748736,11,False
2644,unknown,84,10-11,16,0.97449565,11,False
2645,unknown,85,10-11,16,0.97475564,11,False
2646,unknown,86,10-11,16,0.97463495,11,False
2647,unknown,87,10-11,16,0.97480845,11,False
2648,unknown,88,10-11,16,0.97473013,11,False
2649,unknown,89,10-11,16,0.97473574,11,False
2650,unknown,90,10-11,16,0.9747619,11,False
2651,unknown,91,10-11,16,0.97478837,11,False
2652,unknown,92,10-11,16,0.97469884,11,False
2653,unknown,93,10-11,16,0.97511905,11,False
2654,unknown,94,10-11,16,0.9748054,11,False
2655,unknown,95,10-11,16,0.9747851,11,False
2656,unknown,96,10-11,16,0.97445744,11,False
2657,unknown,97,10-11,16,0.97486365,11,False
2658,unknown,98,10-11,16,0.9748107,11,False
2659,unknown,99,10-11,16,0.97501105,11,False
2660,unknown,100,10-11,16,0.9747939,11,False
2661,unknown,101,10-11,16,0.9744861,11,False
2662,unknown,102,10-11,16,0.9748384,11,False
2663,unknown,103,10-11,16,0.97470987,11,False
2664,unknown,104,10-11,16,0.97452915,11,False
2665,unknown,105,10-11,16,0.974844,11,False
2666,unknown,106,10-11,16,0.9752413,11,False
2667,unknown,107,10-11,16,0.9748725,11,False
2668,unknown,108,10-11,16,0.97469956,11,False
2669,unknown,109,10-11,16,0.97474444,11,False
2670,unknown,110,10-11,16,0.97469234,11,False
2671,unknown,111,10-11,16,0.97434056,11,False
2672,unknown,112,10-11,16,0.9748372,11,False
2673,unknown,113,10-11,16,0.97486854,11,False
2674,unknown,114,10-11,16,0.9748924,11,False
2675,unknown,115,10-11,16,0.97483635,11,False
2676,unknown,116,10-11,16,0.97461104,11,False
2677,unknown,117,10-11,16,0.97482765,11,False
2678,unknown,118,10-11,16,0.9750138,11,False
