真实未知类,细分类_-1,细分类_0,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5,细分类_6,细分类_7,细分类_8,细分类_9,细分类_10,细分类_11,细分类_12
10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,800
10-7,0,0,0,0,0,0,800,0,0,0,0,0,0,0
11-17,0,0,0,0,0,0,0,1,0,0,0,0,799,0
14-10,0,0,0,800,0,0,0,0,0,0,0,0,0,0
16-16,0,0,0,1,0,0,0,797,1,0,0,0,0,1
2-19,0,0,0,0,0,0,0,0,0,2,0,798,0,0
20-12,0,0,0,0,0,0,0,0,0,800,0,0,0,0
20-15,0,0,0,0,0,800,0,0,0,0,0,0,0,0
20-19,0,0,0,0,0,0,0,0,0,0,800,0,0,0
6-1,0,0,800,0,0,0,0,0,0,0,0,0,0,0
8-18,63,0,0,0,349,0,0,0,388,0,0,0,0,0
8-20,0,800,0,0,0,0,0,0,0,0,0,0,0,0
