真实未知类,细分类_-1,细分类_0,细分类_1,细分类_2,细分类_3,细分类_4,细分类_5,细分类_6,细分类_7,细分类_8,细分类_9,细分类_10,细分类_11,细分类_12,细分类_13
10-11,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0
10-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
11-17,0,0,1,0,0,0,0,0,0,0,0,799,0,0,0
14-10,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0
16-16,0,1,797,0,0,0,1,0,1,0,0,0,0,0,0
2-19,358,0,0,0,0,0,0,0,0,0,2,0,0,440,0
20-12,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0
20-15,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0
20-19,65,0,0,0,0,0,0,0,0,352,0,0,383,0,0
6-1,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0
8-18,64,0,0,0,0,0,0,352,384,0,0,0,0,0,0
8-20,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0
